RURAL_SCORE,ZIP_CODE,COUNTY,STATE,NAME,CITY,REGION,ADDRESS
12.4,94952,Sonoma,CA,Dairymens Feed & Supply Co-Op,,Western,323 E. Washington St.
28.9,57446,Brown,SD,Dakota Plains Feed & Grain,,Upper-West,310 Depot St.
27.4,57350,Beadle,SD,"Dakotaland Feeds, LLC",,Upper-West,674 W. Park Ave. N.W.
31.9,58631,Morton,ND,"Dakotaland Feeds, LLC",,Upper-West,303 E. South Ave.
38.2,42420,Henderson,KY,"Darline Ingredients, Inc.",,Southeast,221 Heilman Ave.
13.3,19344,Chester,PA,Darling Ingredients,,Mid-Atlantic,97 Westbrook Dr.
63.9,78602,Bastrop,TX,"Darling Ingredients, Inc.",,South Central,264 FM 2336
83.3,74964,Adair,OK,"Darling Ingredients, LLC, Bakery Feeds Div.",,South Central,Highway 59
0.6,90058,Los Angeles,CA,"Darling International, Inc.",,Western,2626 E. 25th St.
77.5,62664,Mason,IL,"Darling International, Inc.",,Midwest,1000 S. Main St.
50.3,61262,Henry,IL,"Darling International, Inc.",,Midwest,202 Bengston St.
31.1,48724,Saginaw,MI,"Darling International, Inc.",,Midwest,340 Tyler St.
65.5,55325,Meeker,MN,Dassel Co-Op Dairy Assn.,,Midwest,410 Simmons Ave. W.
71,72863,Logan,AR,Davis & Sikes Feed Mill,,South Central,109 N. 5th St.
78.9,30467,Screven,GA,Davis Feed & Seed,,Southeast,1120 S. Main St.
8.8,18944,Bucks,PA,Davis Feed Of Bucks County,,Mid-Atlantic,140 N. 7th St.
33.9,50501,Webster,IA,Dawe's Laboratories,,Central,Highway 20 W.
75.5,42728,Adair,KY,Day & Day Feed,,Southeast,1011 Campbellsville Rd.
34.1,53551,Jefferson,WI,"Daybreak Foods, Inc.",,Midwest,533 E. Tyranena Rd.
67.5,16222,Armstrong,PA,Dayton Feed Mill,,Mid-Atlantic,125 W. Main St.
37.9,28625,Iredell,NC,"Deal-Rite Feeds, Inc.",,Southeast,109 Anna Dr.
61.2,68002,Washington,NE,"Dehy Alfalfa Mills, Inc.",,Central,5935 McCall Ln.
69.5,52247,Washington,IA,"DeKalb Feeds, Inc.",,Central,1955 500th St. S.W.
68,47977,Jasper,IN,Dekalb Genetics Corp.,,Midwest,15849 S. Highway 231
63.2,81416,Delta,CO,Delta Elevator,,Upper-West,551 W. 5th St.
45.8,38751,Sunflower,MS,"Delta Western Grain, Inc.",,Southeast,1842 Highway 82 W.
78.4,5778,Addison,VT,"Depot Farm Supply, Inc.",,New England,2681 Leicester Whiting Rd.
53.3,35951,Marshall,AL,"Derby Downs, LLC",,Southeast,457 Ham Rd.
53.3,52060,Jackson,IA,Devenish Nutrition,,Central,305 Pershing Rd.
16.4,48130,Washtenaw,MI,Dexter Mill,,Midwest,3515 Central St.
43.9,52577,Mahaska,IA,"DFS Oskaloosa, LLC",,Central,2905 S. 33rd St.
43.9,52577,Mahaska,IA,"DFS Oskaloosa, LLC",,Central,2808 S. 33rd St.
43.9,50568,Buena Vista,IA,"DFS, Inc.",,Central,167 W. 1st St.
17.9,59338,Custer,MT,Diamond K Feeding & Feeds,,Upper-West,2892 Kinsey Rd.
25.8,15066,Beaver,PA,"Diamond Milling Co., Inc.",,Mid-Atlantic,313 5th Ave.
12.7,52404,Linn,IA,Diamond V,,Central,2525 60th Ave. S.W.
15.5,93257,Tulare,CA,"Distributors Processing, Inc.",,Western,17656 Avenue 168
35.8,29642,Pickens,SC,Dixie Feed Co.,,Southeast,642 Hendricks Rd.
41.8,31735,Sumter,GA,"Dixie Lix Industries, Inc.",,Southeast,3581 Highway 280
41.2,97470,Douglas,OR,Dixonville Ranch Supply,,North West,18368 Dixonville Rd.
19.3,67801,Ford,KS,"Dodge City Cooperative Exchange, The",,Central,710 W. Trail St.
79.9,53533,Iowa,WI,"Dodgeville Agri-Service, Inc.",,Midwest,208 King St.
100,50567,Sac,IA,Don's Farm Supply,,Central,210 Railway St.
N/A,71351,Avoyelles,LA,Don's Feed Mill,,South Central,4862 Highway 1
69,54235,Door,WI,Door County Cooperative,,Midwest,317 Green Bay Rd.
26.9,83647,Elmore,ID,Double J. Milling,,North West,2450 N.W. Granary Rd.
N/A,71351,Avoyelles,LA,Double S Feed Mill,,South Central,5553 Highway 107
31.3,61832,Vermilion,IL,"Double S Liquid Feed Service, Inc.",,Midwest,726 N. Bowman Ave.
100,57313,Douglas,SD,Douglas Feed Mill,,Upper-West,508 Main St.
60,30567,Jackson,GA,"DSM Nutritional Products, Inc.",,Southeast,495 Jackson Concourse
12.8,18017,Northampton,PA,"Dyets, Inc.",,Mid-Atlantic,2508 Easton Ave.
N/A,70422,St. Helena,LA,"Dykes Feed & Dairy Supplies, W. E.",,South Central,35504 Highway 16
5.5,83642,Ada,ID,Dynamite Feed Mill,,North West,611 N. Main St.
60,30549,Jackson,GA,"E Z Pak, LLC",,Southeast,205 Apex Dr.
55.8,28150,Cleveland,NC,Eagle Roller Mill Co.,,Southeast,1101 Airport Rd.
54.9,61742,Woodford,IL,Earlybird Feed In Fertilizer,,Midwest,381 State Route 117
49.9,77435,Wharton,TX,East Bernard Milling,,South Central,106 Jones St.
13.5,50643,Black Hawk,IA,East Central Iowa Co-Op,,Central,602 Washington St.
50.5,17084,Mifflin,PA,East Gate Feed & Grain,,Mid-Atlantic,141 Three Cent Ln.
54.1,27537,Vance,NC,"Eastern Minerals, Inc.",,Southeast,170 Eastern Minerals Rd.
45.9,97844,Morrow,OR,"Eastern Oregon Processing, LLC",,North West,77455 Patterson Ferry Rd.
2.6,11941,Suffolk,NY,"Eastport Feeds, Inc.",,New York-New Jersey,140 E. Moriches Blvd.
80.9,31024,Putnam,GA,"Eatonton Co-Op Feed Co., Inc.",,Southeast,504 S. Jefferson Ave.
65.3,78629,Gonzales,TX,"E-Barr Feeds, Inc.",,South Central,212 Saint Louis St.
96.6,52042,Clayton,IA,Edgewood Feed Mill,,Central,"1986 Highway 3, Ste. 1"
96.6,52042,Clayton,IA,"Edgewood Feed Mill, Inc.",,Central,1986 Highway 3 W.
63.6,43518,Williams,OH,"Edon Farmers Co-Op Assn., Inc.",,Midwest,205 S. Michigan St.
57.1,52654,Henry,IA,"Eichelberger Milling, Inc.",,Central,408 N. Way Dr.
50,29720,Lancaster,SC,"Elgin Feed & Garden Center, Inc.",,Southeast,2663 Kershaw Camden Hwy.
23.8,47802,Vigo,IN,Eli Lilly & Co.,,Midwest,1445 S. 1st St.
2.1,95757,Sacramento,CA,"Elk Grove Milling, Inc.",,Western,8320 Eschinger Rd.
29.8,44256,Medina,OH,Elkay Feed & Supply,,Midwest,4836 Coddingville Rd.
54.1,67439,Ellsworth,KS,Ellsworth Co-Op,,Central,100 N. Kansas Ave.
55,16350,Warren,PA,"Enos Milling, D & L",,Mid-Atlantic,314 Main St.
67.7,28129,Stanly,NC,Enterprise Rendering Co.,,Southeast,28821 Bethlehem Church Rd.
6.7,8060,Burlington,NJ,"Epicore Networks U.S.A., Inc.",,New York-New Jersey,4 Lina Ln.
40.2,99344,Adams,WA,"EPL Feed, LLC",,North West,2098 W. McManomon Rd.
25.9,98295,Whatcom,WA,"EPL Feed, LLC",,North West,411 W. Front St.
100,29135,Calhoun,SC,"Equi-Fab Carolina, Inc.",,Southeast,Highway 601 N.
80.8,56297,Yellow Medicine,MN,Equity Elevator & Trading Co.,,Midwest,3rd St. & Railroad Ave.
51.7,36005,Pike,AL,"Equity Group Eufaula Div., LLC",,Southeast,498 County Road 4434
45.2,42134,Simpson,KY,"Equity Group, Kentucky Div.",,Southeast,3150 Nashville Rd.
7.5,85653,Pima,AZ,Equus International Corp.,,Western,7310 N. Anway Rd.
0.2,55110,Ramsey,MN,"Equus Magnificus, Inc.",,Midwest,11520 Grenelefe Ave. N.
20,16438,Erie,PA,Erie-Crawford Co-Op,,Mid-Atlantic,7733 Route 97
100,57362,Hand,SD,"Esco Industries, Inc.",,Upper-West,103 S. Broadway Ave.
60.7,53932,Columbia,WI,"Esmilco, Inc.",,Midwest,209 Steel Rd.
46.6,46524,Kosciusko,IN,"Etna Elevator Co., Inc.",,Midwest,120 N. Walnut St.
N/A,70760,Pointe Coupee,LA,"Evolved Industries, Inc.",,South Central,2261 Morganza Hwy.
61.2,68008,Washington,NE,Evonik Corp.,,Central,650 Industrial Park Dr.
1.4,40202,Jefferson,KY,"Excel Equine, LLC",,Southeast,165 N. Clay St.
0,80216,Denver,CO,"Excello Commodities, Inc.",,Upper-West,3725 E. 48th Ave.
89.2,24151,Franklin,VA,"Exchange Milling Co., Inc.",,Mid-Atlantic,1380 Franklin St.
26.3,66801,Lyon,KS,"F & F Feed, Inc.",,Central,2700 W. South Ave.
38.4,78113,Karnes,TX,"Falls City Milling Co., Inc.",,South Central,201 W. Cooper St.
100,49632,Missaukee,MI,Falmouth Co-Op,,Midwest,260 E. Prosper Rd.
36.9,56331,Stearns,MN,"Famo Feeds, Inc.",,Midwest,446 Industrial Dr.
70.6,52175,Fayette,IA,Farmer Union Co-Op,,Central,402 S. Vine St.
60,74465,Cherokee,OK,Farmers Co-Op,,South Central,1501 S. Park Hill Rd.
20.3,49426,Ottawa,MI,Farmers Co-Op,,Midwest,3302 Prospect St.
66.1,50436,Winnebago,IA,Farmers Co-Op Assn.,,Central,406 E. K St.
49.5,65360,Henry,MO,Farmers Co-Op Co.,,Central,500 W. Jackson St.
62.9,51050,Plymouth,IA,Farmers Co-Op Co.,,Central,6 S. Washington St.
100,67127,Comanche,KS,Farmers Co-Op Co. Of Protection,,Central,108 W. Chesnut
62.9,51050,Plymouth,IA,Farmers Co-Op Co. Of Remsen,,Central,6 S. Washington
100,69343,Sheridan,NE,Farmers Co-Op Elevator Co.,,Central,205 S. Main St.
25,69348,Box Butte,NE,Farmers Co-Op Elevator Co.,,Central,317 Osborn St.
100,67104,Barber,KS,Farmers Co-Op Equity Co.,,Central,1447 N.W. River Rd.
62.1,67159,Kingman,KS,Farmers Co-Op Equity Co.,,Central,405 N. Main St.
100,67065,Barber,KS,Farmers Co-Op Equity Co.,,Central,102 N. Burr
62.9,67031,Sumner,KS,Farmers Co-Op Grain Assn.,,Central,524 E. Parallel St.
96.1,63459,Ralls,MO,Farmers Co-Op Service,,Central,116 E. 4th St.
52,72956,Crawford,AR,"Farmers Co-Op, Inc.",,South Central,2105 Industrial Park Rd.
44.4,68310,Gage,NE,Farmers Cooperative,,Central,2020 S. 6th St.
51.1,68465,Saline,NE,Farmers Cooperative,,Central,2312 Highway 41
8.3,68358,Lancaster,NE,Farmers Cooperative,,Central,305 Main St.
51.1,68343,Saline,NE,Farmers Cooperative,,Central,208 W. Depot
64.5,50668,Bremer,IA,Farmers Cooperative Company,,Central,223 E. 1st St.
30.9,67056,Harvey,KS,Farmers Cooperative Elevator Co.,,Central,302 W. 1st St.
47.9,56229,Lyon,MN,Farmers Cooperative Elevator Co.,,Midwest,90 Railroad St.
80.8,56245,Yellow Medicine,MN,Farmers Cooperative Elevator Co.,,Midwest,1972 510th St.
48.6,53963,Dodge,WI,Farmers Elevator Co.,,Midwest,2 W. Main St.
73.6,56537,Otter Tail,MN,Farmers Elevator Co-Op & Feed Mill,,Midwest,225 E. Hampden Ave.
73.6,56537,Otter Tail,MN,"Farmers Elevator Of Fergus Falls, Inc.",,Midwest,406 E. Junius Ave.
50.8,51234,Sioux,IA,"Farmers Feed & Supply, Inc.",,Central,602 Main St.
3.1,40508,Fayette,KY,"Farmers Feed Mill, Inc.",,Southeast,251 W. Loudon Ave.
0.7,48164,Wayne,MI,Farmers Grain & Feed Co.,,Midwest,18700 Hannan Rd.
100,73759,Grant,OK,"Farmers Grain Co., Inc.",,South Central,314 U.S. Highway 81
63,52163,Howard,IA,"Farmers Mill, Inc.",,Central,3324 100th St.
75.3,24382,Wythe,VA,"Farmers Milling & Supply, Inc.",,Mid-Atlantic,525 W. Railroad Ave.
40.4,17225,Franklin,PA,"Farmers Union Co-Op, Inc.",,Mid-Atlantic,30 E. Walter Ave.
63,52136,Howard,IA,Farmers Win Co-Op,,Central,120 5th St. S.W.
59,52101,Winneshiek,IA,Farmers Win Co-Op,,Central,824 E. Water St.
100,69210,Brown,NE,Farmers/Ranchers Co-Op Assn.,,Central,224 S. Main St.
46.9,87701,San Miguel,NM,Farmway Feed & Equipment Co.,,South Central,1015 Gallinas Ave.
64.1,65248,Howard,MO,"Fayette MFA Agri Services, Inc.",,Central,111 Armstrong St.
4.9,50327,Polk,IA,"FEC Solutions, LLC",,Central,4400 E. University Ave.
32.5,55301,Wright,MN,"Federated Co-Ops, Inc.",,Midwest,11229 60th Ave.
72.2,54635,Jackson,WI,Federation Co-Op,,Midwest,64 State Rd.
29.5,21713,Washington,MD,"Feed Bin, The",,Mid-Atlantic,18642 Lappans Rd.
78.4,5753,Addison,VT,"Feed Commodities International, Inc.",,New England,47 Feed Mill Ln.
54.4,1337,Franklin,MA,"Feed Commodities International, Inc.",,New England,488 N. Field Rd.
62.7,12953,Franklin,NY,"Feed Commodities, Inc.",,New York-New Jersey,245 Elm St.
6.6,98421,Pierce,WA,"Feed Commodities, LLC",,North West,2006 E. Portland Ave.
1.3,97266,Multnomah,OR,"Feed Commodities, LLC",,North West,"6400 S.E. 101st Ave., Ste. 1-A"
59.6,51561,Mills,IA,Feed Energy Co.,,Central,21060 Kelting Ave.
79.6,39367,Wayne,MS,"Feed Mill, LLC, The",,Southeast,600 Chickasawhay St.
60.7,78026,Atascosa,TX,"Feed Pen, The",,South Central,947 Maple
59.6,75482,Hopkins,TX,Feeders Supply,,South Central,624 7th St.
65.3,78629,Gonzales,TX,Fehner & Son Grain,,South Central,1922 County Road 197
58.6,30538,Stephens,GA,Fieldale Farms Corp.,,Southeast,Highway 145 S.
58.8,30511,Habersham,GA,Fieldale Farms Corp.,,Southeast,555 Broiler Blvd.
4.3,45441,Montgomery,OH,"Firehorse Enterprises, Inc.",,Midwest,7525 Paragon Road 41310
100,51025,Ida,IA,First Co-Op Assn.,,Central,204 E. 1st St.
45.8,38761,Sunflower,MS,"Fishbelt Feeds, Inc.",,Southeast,33 Moorhead-Itta Bena Rd.
76.6,65667,Wright,MO,Fisher's Feed & Farm Supply,,Central,3710 Highway 38 W.
53.9,74010,Creek,OK,"Fisher's Mill, Inc.",,South Central,29335 S. 257th West Ave.
23.4,76654,McLennan,TX,"Five J Feed & Farm Supply, Inc.",,South Central,5012 Heritage Pkwy.
73.5,50659,Chickasaw,IA,Five Star Co-Op,,Central,1949 N. Linn Ave.
100,50446,Worth,IA,Five Star Co-Op,,Central,355 410th St.
4.9,55044,Dakota,MN,"Flavor-Ferm, Inc.",,Midwest,8860 Upper 208th St.
40.8,31794,Tift,GA,"Fleming Co., W. B.",,Southeast,102 S. Central Ave.
100,47040,Ohio,IN,Fletcher Feed & Supply,,Midwest,211 N. Walnut
56.5,39818,Decatur,GA,"Flint River Mills, Inc.",,Southeast,1100 Dothan Rd.
3.5,33610,Hillsborough,FL,"Florida Mineral, Salt & Agricultural Products, LLC",,Southeast,4014 N. 40th St.
N/A,70767,West Baton Rouge,LA,"Fluker's Cricket Farm, Inc.",,South Central,1333 Plantation Rd.
33.6,76450,Young,TX,FMC Feeds,,South Central,406 6th St.
79.4,31557,Pierce,GA,"Foodonics International, Inc.",,Southeast,6233 Highway 84
44.5,56209,Kandiyohi,MN,FormAFeed,,Midwest,204 E. Atlantic Ave.
46.6,55385,McLeod,MN,"Form-A-Feed, Inc.",,Midwest,740 Bowman St.
53.2,54017,St. Croix,WI,"Form-A-Feed, Inc.",,Midwest,"156 High St., Ste. 1"
72.2,18833,Bradford,PA,"Formula 1 Feeds, Inc.",,Mid-Atlantic,4401 Wyalusing New Albany Rd.
63.2,81416,Delta,CO,Foster Farms Feed Mill,,Upper-West,437 Palmer St.
55.8,71802,Hempstead,AR,Foster Poultry Farms,,South Central,Highway 67
13.1,97002,Marion,OR,"Foster Poultry Farms, LLC",,North West,11671 Ehlen Rd. N.E.
49.5,67432,Clay,KS,"Fourth & Pomeroy Assocs., Inc.",,Central,105 4th St.
64.7,68763,Holt,NE,"Fox Bros. Hay Co., Inc.",,Central,87314 U.S. Highway 281
27.5,54129,Calumet,WI,"Fox Valley Alfalfa Mill, Inc.",,Midwest,508 N. 3rd St.
40.4,17201,Franklin,PA,Franklin Feed & Supply Co.,,Mid-Atlantic,1977 Philadelphia Ave.
64.5,53813,Grant,WI,Free Choice Enterprises Ltd.,,Midwest,10055 County Road K
58,52310,Jones,IA,"Frontier Feed, Inc.",,Central,130 E. 11th St.
34.8,57078,Yankton,SD,"Frontier Mills, Inc.",,Upper-West,2002 SD Highway 314
0.9,84070,Salt Lake,UT,Fur Breeders Agricultural Cooperative,,Upper-West,8700 S 700 W
15.7,84321,Cache,UT,Fur Breeders Agricultural Cooperative,,Upper-West,1000 W 200 N
29.8,69341,Scotts Bluff,NE,Furst-McNess Co.,,Central,780 Rundell Rd.
43.9,50588,Buena Vista,IA,Furst-McNess Co.,,Central,2000 Expansion Blvd.
47,31015,Crisp,GA,Furst-McNess Co.,,Southeast,101 N. Harris St.
40.1,61027,Stephenson,IL,Furst-McNess Co.,,Midwest,209 Bridge St.
37.9,28625,Iredell,NC,"G & M Milling Co., Inc.",,Southeast,4000 Taylorsville Hwy.
100,58356,Eddy,ND,"G & R Grain & Feed, Inc.",,Upper-West,1001 3rd Ave. S.
45.5,64683,Grundy,MO,"Gages Fertilizer & Grain, Inc.",,Central,614 Harris Ave.
85,28441,Sampson,NC,Garland Farm Supply,,Southeast,250 N. Belgrade Ave.
96.6,52049,Clayton,IA,"Garnavillo Mill, Inc.",,Central,501 S. Main St.
15.3,62526,Macon,IL,Garver Feeds,,Midwest,3497 N. Bearsdale Rd.
15.3,62523,Macon,IL,Garver Feeds,,Midwest,222 E. Wabash Ave.
9.8,62203,St. Clair,IL,Gateway Co-Packing,,Midwest,901 N. Kingshighway
36.5,34972,Okeechobee,FL,Gator Feed Co.,,Southeast,1205 Highway 98 N.
75.5,32091,Bradford,FL,"Gator I I Farm Supply, Inc.",,Southeast,Highway 301 S.
21.3,17517,Lancaster,PA,"Gehman Feed Mill, Inc.",,Mid-Atlantic,44 N. 3rd St.
43,54479,Marathon,WI,"General Farm Supply, Inc.",,Midwest,107 S. Pacific St.
76.2,83805,Boundary,ID,"General Feed & Grain, Inc.",,North West,7128 3rd St.
72.8,56364,Morrison,MN,Genola Grain Co.,,Midwest,25898 Meadowlark Rd.
100,51237,Lyon,IA,George Elevator Co. Corp.,,Central,201 E. Boiler Ave.
66.6,22842,Shenandoah,VA,"George's, Inc.",,Mid-Atlantic,560 Caverns Rd.
N/A,22802,Independent Cities,VA,"George's, Inc.",,Mid-Atlantic,61 Kratzer Rd.
73.3,65625,Barry,MO,"George's, Inc., Cassville Feed Mill",,Central,9225 State Highway W.
25.5,72764,Washington,AR,"George's, Inc., Springdale Feed Mill",,South Central,200 W. Robinson Ave.
69.1,43545,Henry,OH,"Gerald Grain Center, Inc.",,Midwest,14540 County Road U
56.2,43502,Fulton,OH,"Gerald Grain Center, Inc.",,Midwest,3265 County Road 24
41.6,43804,Tuscarawas,OH,"Gerber & Sons, Inc.",,Midwest,201 E. Main St.
51,44618,Wayne,OH,"Gerber Feed Service, Inc.",,Midwest,3094 Moser Rd.
81.3,54124,Oconto,WI,"Gillett Milling Co., Inc.",,Midwest,109 Railroad St.
22.2,17241,Cumberland,PA,Ginter Mill,,Mid-Atlantic,6 McCrea Rd.
9,79118,Potter,TX,"Global Animal Products, Inc.",,South Central,3701 Airway Blvd.
100,80720,Washington,CO,Global Harvest Foods Ltd.,,Upper-West,101 W. Railroad Ave.
68,47980,White,IN,Global Harvest Foods Ltd.,,Midwest,10 E 100 S
25.3,57536,Hughes,SD,Global Harvest Foods Ltd.,,Upper-West,113 S. Wyman
7.9,18106,Lehigh,PA,Global Harvest Foods Ltd.,,Mid-Atlantic,6821 Ruppsville Rd.
47.6,27807,Nash,NC,"Glover Milling Co., Inc.",,Southeast,3038 W. Hornes Church Rd.
75.4,30650,Morgan,GA,Godfrey's Warehouse,,Southeast,255 W. Jefferson St.
18.5,58501,Burleigh,ND,"Gold Label Feeds, Inc.",,Upper-West,2119 E. Broadway Ave.
55.6,37160,Bedford,TN,Gold River Feed Products,,Southeast,783 Eagle Blvd.
33,13455,Oneida,NY,Gold Star Feed & Grain,,New York-New Jersey,7593 Route 20
48,13606,Jefferson,NY,"Gold Star Feed & Grain, LLC",,New York-New Jersey,1 Richer Dr.
25.6,67637,Ellis,KS,Golden Belt Co-Op Assn.,,Central,917 Monroe St.
73.2,35055,Cullman,AL,"Golden Rod Feed Mill, Inc.",,Southeast,85 13th St. N.E.
8,95380,Stanislaus,CA,"Golden State Mixing, Inc.",,Western,425 D St.
60.3,76454,Eastland,TX,"Gorman Milling Co., Inc.",,South Central,302 E. Lubbock St.
26.7,69138,Dawson,NE,Gothenburg Feed Products Co.,,Central,1405 2nd Ave.
51.1,68854,Hamilton,NE,"Grain Place Foods, Inc.",,Central,1904 N. Highway 14
9.4,14141,Erie,NY,"Gramco, Inc.",,New York-New Jersey,299 Waverly St.
83.9,21536,Garrett,MD,"Grantsville Ag Service, Inc.",,Mid-Atlantic,28 Springs Rd.
35.5,43023,Licking,OH,Granville Milling Co.,,Midwest,400 S. Main St.
77.4,55030,Kanabec,MN,Grasston Co-Op Mill,,Midwest,209 S. Oak St.
21.3,17022,Lancaster,PA,"Graybill Farms, Inc.",,Mid-Atlantic,389 Heisey Quarry Rd.
31.8,67530,Barton,KS,Great Bend Co-Op Assn.,,Central,224 Main St.
32.2,67124,Pratt,KS,Great Plains Alfalfa,,Central,70036 N.W. 30th St.
39.6,58072,Barnes,ND,"Great Plains Processing, LLC",,Upper-West,1234 Berea Rd.
20.5,80631,Weld,CO,"Greeley Seed Co., LLC",,Upper-West,1203 Ash Ave.
34.8,57031,Yankton,SD,Green Meadows Forage,,Upper-West,31019 450th Ave.
75.6,5032,Windsor,VT,"Green Mountain Feeds, Inc.",,New England,65 Main St.
100,42261,Butler,KY,Green River Feed Mill,,Southeast,1239 S. Main St.
59.4,39666,Pike,MS,"Greenleaf Agri Products, Inc.",,Southeast,1191 Anglin Rd.
17.5,97404,Lane,OR,"Gremida, Inc.",,North West,1034 Cinnamon Ave.
N/A,71369,Avoyelles,LA,Gremillion Feed Mill,,South Central,2583 Highway 105
3.5,33619,Hillsborough,FL,"Griffin Industries, LLC",,Southeast,1001 Orient Rd.
27.3,28103,Union,NC,"Griffin Industries, LLC, Bakery Feeds Div.",,Southeast,5805 Highway 74 E.
76.6,65711,Wright,MO,"Grisham Farm Products, Inc.",,Central,7364 Newkirk Rd.
61.9,47358,Randolph,IN,"Gro-Tec, Inc.",,Midwest,10324 U.S. 36
100,79084,Sherman,TX,Gro-Well Brands,,South Central,119 S. Spruce St.
17.5,49097,Kalamazoo,MI,"H & H Feed & Grain, Inc.",,Midwest,14093 Portage Rd.
4.6,92276,Riverside,CA,Hacienda Feed & Supply,,Western,72806 Ramon Rd.
80.7,30823,Jefferson,GA,"Hadco Vet Supply, Inc.",,Southeast,15329 Highway 296 N.
13.7,99006,Spokane,WA,"Half Moon Feeds, LLC",,North West,39124 N. Sherman Rd.
21.4,73703,Garfield,OK,"Hanor Co. Of Wisconsin, LLC, The",,South Central,3025 S. Van Buren St.
33,13502,Oneida,NY,Harbor Point Minerals,,New York-New Jersey,71 Wurz Ave.
12.7,27357,Guilford,NC,"Hardin Farm & Stables, Inc.",,Southeast,8201 Millrun Rd.
93.3,55939,Fillmore,MN,"Harmony Agri Services, Inc.",,Midwest,25 2nd St. N.E.
89.6,36344,Geneva,AL,"Harrell Milling Co., Inc.",,Southeast,311 Railroad Ave.
30.1,30680,Barrow,GA,Harrison Milling Co.,,Southeast,243 Midland Ave.
13.6,57033,Minnehaha,SD,Hartford Farmers Elevator,,Upper-West,112 S. Main St.
100,68739,Cedar,NE,Hartington Rendering,,Central,56391 882 Rd.
13.5,44632,Stark,OH,Hartville Elevator Co.,,Midwest,111 N. Prospect St.
100,58282,Pembina,ND,"Harvest Fuel, Inc.",,Upper-West,207 14th St.
84.6,48811,Montcalm,MI,"Harvey Milling Co., Inc.",,Midwest,729 W. Main St.
8,95380,Stanislaus,CA,Hatch Milling Co.,,Western,9400 W. Main St.
72.3,54201,Kewaunee,WI,"Havegard Farm, Inc.",,Midwest,225 Navarino St.
100,62871,Gallatin,IL,"Hayden Milling, Inc.",,Midwest,1st & Washington
4.9,50322,Polk,IA,"HealthyCoat, Inc.",,Central,6707 Douglas Ave.
100,67850,Lane,KS,Healy Co-Op,,Central,2002 S. Dodge St.
57.5,50228,Jasper,IA,Heartland Co-Op,,Central,117 S. Main St.
43,54426,Marathon,WI,Heartland Co-Operative Services,,Midwest,225 Redwood St.
79.1,65608,Douglas,MO,"Heath & Son Feed & Supply, Inc.",,Central,904 N.W. 3rd St.
89.6,54627,Trempealeau,WI,"Hegg Mill, LLC",,Midwest,N23395 U.S. Highway 53
36.9,56303,Stearns,MN,"Heim Milling Co., Inc.",,Midwest,32311 County Road 1
28,83301,Twin Falls,ID,"Heiskell Holdings, LLC, J.D.",,North West,2407 Warren Ave.
50.3,61274,Henry,IL,"Helfter Enterprises, Inc.",,Midwest,301 Main St.
66.3,45390,Darke,OH,"Hemmelgarn Grain, Inc.",,Midwest,210 E. Elm St.
13.9,30252,Henry,GA,Henry County Feed Mill,,Southeast,2648 Highway 81 E.
59.3,54725,Dunn,WI,"Herdsman Feeds, Inc.",,Midwest,1353 State Road 64
31.1,45814,Hancock,OH,Heritage Cooperative,,Midwest,301 E. Sumner St.
57.4,43351,Wyandot,OH,"Heritage Cooperative, Inc.",,Midwest,520 W. Wyandot Ave.
38.6,48054,St. Clair,MI,"Herman Bros. Pet Products, Inc.",,Midwest,5675 Booth Rd.
0,60527,DuPage,IL,"Herris Group, LLC",,Midwest,7780 S. Quincy St.
26.6,17042,Lebanon,PA,"Hershey Farms, Inc., Mark",,Mid-Atlantic,479 Horseshoe Pike
21.3,17562,Lancaster,PA,Hess Mills,,Mid-Atlantic,6 S. Vintage Rd.
67.4,32054,Union,FL,"Hillandale Quality Feed, LLC",,Southeast,Highway 121 S.
25.1,68063,Dodge,NE,"Hillside Dehy, Inc.",,Central,2227 County Road B
83.8,15537,Bedford,PA,Hinish Feed & Farm Supply,,Mid-Atlantic,1034 N. Spring St.
19.3,67882,Ford,KS,"Hi-Plains Feed, LLC",,Central,10955 116th Rd.
24.2,88230,Chaves,NM,Hi-Pro Feeds,,South Central,6967 State Rd.
60,79035,Parmer,TX,Hi-Pro Feeds,,South Central,1201 E. 11th St.
14.1,88101,Curry,NM,Hi-Pro Feeds,,South Central,408 S. Prince St.
71.5,76442,Comanche,TX,Hi-Pro Feeds,,South Central,1300 E. Mill St.
80.5,65791,Oregon,MO,"Hirsch Feed & Farm Supply, Inc.",,Central,Old Highway 63 S.
45.1,73945,Texas,OK,"Hitch Mills, Inc.",,South Central,"Route 1, Box 58"
38.8,28125,Rowan,NC,Hodge Farms,,Southeast,11265 Highway 801
81.4,46917,Carroll,IN,"Hog Slat Midwest, Inc.",,Midwest,1972 N. Meridian Rd.
53.7,17301,Adams,PA,"Hoke Mills, Inc.",,Mid-Atlantic,Route 30
24.7,17404,York,PA,"Hoke Mills, Inc.",,Mid-Atlantic,150 S. Seward St.
70.8,15935,Somerset,PA,Hollsopple Feed Mill,,Mid-Atlantic,109 Mill St.
93,44654,Holmes,OH,"Holmes By Products Co., Inc.",,Midwest,3175 Township Rd. 411
65.3,78629,Gonzales,TX,"Holmes Foods, Inc.",,South Central,108 South St.
69,49891,Alger,MI,"Holmquist Feed Mill, Inc.",,Midwest,232 N. Main St.
